,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,HPAPeaksPause98CPU60,DM98CPU60RT500,,27.77197648,247.25448,266.15,HPAPeaksPause98CPU60,DM98CPU60RT500,FA,1723,12012,1,,,,,,HPA,DMAR,SAAA,#DIV/0!,0.65,,original,,,,3815,-15533,,73,76
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4288995,1,0,99.4288995,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42886378,1,0,99.42886378,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42903516,1,0,99.42903516,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4290141,1,0,99.4290141,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4290092,1,0,99.4290092,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42897978,1,0,99.42897978,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42895693,1,0,99.42895693,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42895587,1,0,99.42895587,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42893196,1,0,99.42893196,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42892271,1,0,99.42892271,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42888806,1,0,99.42888806,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42886165,1,0,99.42886165,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42903301,1,0,99.42903301,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42901197,1,0,99.42901197,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42900681,1,0,99.42900681,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4289774,1,0,99.4289774,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42895457,1,0,99.42895457,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42895348,1,0,99.42895348,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42892278,1,0,99.42892278,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4289203,1,0,99.4289203,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42888568,1,0,99.42888568,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42888154,1,0,99.42888154,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42903063,1,0,99.42903063,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42900407,1,0,99.42900407,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42900466,1,0,99.42900466,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42897527,1,0,99.42897527,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42897467,1,0,99.42897467,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42895135,1,0,99.42895135,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42892067,1,0,99.42892067,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42891817,1,0,99.42891817,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42888357,1,0,99.42888357,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4288794,1,0,99.4288794,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4290285,1,0,99.4290285,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42900194,1,0,99.42900194,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42900251,1,0,99.42900251,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42897314,1,0,99.42897314,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42897252,1,0,99.42897252,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4289492,1,0,99.4289492,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42891854,1,0,99.42891854,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42891601,1,0,99.42891601,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42888142,1,0,99.42888142,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42887723,1,0,99.42887723,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42902634,1,0,99.42902634,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42899981,1,0,99.42899981,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4289933,1,0,99.4289933,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.428971,1,0,99.428971,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42897036,1,0,99.42897036,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42894706,1,0,99.42894706,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42893856,1,0,99.42893856,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42890497,1,0,99.42890497,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4288793,1,0,99.4288793,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42887507,1,0,99.42887507,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42902422,1,0,99.42902422,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42901982,1,0,99.42901982,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42899118,1,0,99.42899118,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42896889,1,0,99.42896889,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42896823,1,0,99.42896823,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42893839,1,0,99.42893839,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42893642,1,0,99.42893642,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42890286,1,0,99.42890286,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42889931,1,0,99.42889931,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42887297,1,0,99.42887297,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42901676,1,0,99.42901676,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42901771,1,0,99.42901771,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42898907,1,0,99.42898907,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42898888,1,0,99.42898888,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42896612,1,0,99.42896612,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42893629,1,0,99.42893629,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42893431,1,0,99.42893431,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42890076,1,0,99.42890076,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42889718,1,0,99.42889718,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42887086,1,0,99.42887086,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42901467,1,0,99.42901467,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42901548,1,0,99.42901548,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42898685,1,0,99.42898685,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42898663,1,0,99.42898663,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42896388,1,0,99.42896388,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42893407,1,0,99.42893407,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42893201,1,0,99.42893201,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42889847,1,0,99.42889847,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42889486,1,0,99.42889486,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42886856,1,0,99.42886856,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42901238,1,0,99.42901238,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42900646,1,0,99.42900646,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42898466,1,0,99.42898466,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42898442,1,0,99.42898442,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4289615,1,0,99.4289615,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42895368,1,0,99.42895368,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42892111,1,0,99.42892111,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42889615,1,0,99.42889615,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42889253,1,0,99.42889253,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42886624,1,0,99.42886624,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42903205,1,0,99.42903205,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42900415,1,0,99.42900415,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42898238,1,0,99.42898238,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42898211,1,0,99.42898211,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42895307,1,0,99.42895307,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42895157,1,0,99.42895157,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42891902,1,0,99.42891902,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42891599,1,0,99.42891599,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42889041,1,0,99.42889041,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42885625,1,0,99.42885625,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42902994,1,0,99.42902994,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42900205,1,0,99.42900205,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42900218,1,0,99.42900218,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42897998,1,0,99.42897998,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42895094,1,0,99.42895094,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42894942,1,0,99.42894942,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42891688,1,0,99.42891688,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42891385,1,0,99.42891385,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42888828,1,0,99.42888828,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42885413,1,0,99.42885413,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42902779,1,0,99.42902779,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42899992,1,0,99.42899992,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42900006,1,0,99.42900006,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42897788,1,0,99.42897788,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42894887,1,0,99.42894887,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42894732,1,0,99.42894732,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42891481,1,0,99.42891481,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42891175,1,0,99.42891175,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42888619,1,0,99.42888619,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42885207,1,0,99.42885207,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42902568,1,0,99.42902568,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42899783,1,0,99.42899783,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42899793,1,0,99.42899793,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42897575,1,0,99.42897575,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42896859,1,0,99.42896859,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42893698,1,0,99.42893698,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42891269,1,0,99.42891269,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42890961,1,0,99.42890961,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42888406,1,0,99.42888406,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42887176,1,0,99.42887176,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.429017,1,0,99.429017,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42899572,1,0,99.42899572,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42899579,1,0,99.42899579,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42896751,1,0,99.42896751,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42896644,1,0,99.42896644,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42893485,1,0,99.42893485,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42891057,1,0,99.42891057,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42890747,1,0,99.42890747,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42887435,1,0,99.42887435,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42886963,1,0,99.42886963,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42901489,1,0,99.42901489,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42901541,1,0,99.42901541,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4289937,1,0,99.4289937,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42896543,1,0,99.42896543,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42896434,1,0,99.42896434,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42893276,1,0,99.42893276,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42893025,1,0,99.42893025,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42890538,1,0,99.42890538,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42887227,1,0,99.42887227,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42886753,1,0,99.42886753,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4290128,1,0,99.4290128,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4290133,1,0,99.4290133,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42899161,1,0,99.42899161,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42896336,1,0,99.42896336,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42896225,1,0,99.42896225,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42893068,1,0,99.42893068,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42892816,1,0,99.42892816,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42890328,1,0,99.42890328,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42887019,1,0,99.42887019,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42886541,1,0,99.42886541,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42901071,1,0,99.42901071,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42901119,1,0,99.42901119,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42898951,1,0,99.42898951,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42898296,1,0,99.42898296,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42895224,1,0,99.42895224,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42892859,1,0,99.42892859,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42892604,1,0,99.42892604,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42890118,1,0,99.42890118,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42888978,1,0,99.42888978,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4288532,1,0,99.4288532,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42900862,1,0,99.42900862,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42900904,1,0,99.42900904,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42898739,1,0,99.42898739,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42898082,1,0,99.42898082,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42895012,1,0,99.42895012,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42892648,1,0,99.42892648,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42892382,1,0,99.42892382,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42889167,1,0,99.42889167,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42888758,1,0,99.42888758,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42885101,1,0,99.42885101,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42902807,1,0,99.42902807,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42900687,1,0,99.42900687,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42897932,1,0,99.42897932,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42897865,1,0,99.42897865,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42894796,1,0,99.42894796,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42894594,1,0,99.42894594,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42892174,1,0,99.42892174,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42888961,1,0,99.42888961,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42888549,1,0,99.42888549,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42884893,1,0,99.42884893,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42902598,1,0,99.42902598,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4290048,1,0,99.4290048,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42897723,1,0,99.42897723,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42897638,1,0,99.42897638,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42894571,1,0,99.42894571,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42894367,1,0,99.42894367,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42891948,1,0,99.42891948,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42888736,1,0,99.42888736,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42888321,1,0,99.42888321,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42884668,1,0,99.42884668,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42902371,1,0,99.42902371,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42900254,1,0,99.42900254,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42899656,1,0,99.42899656,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4289667,1,0,99.4289667,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42894364,1,0,99.42894364,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42894159,1,0,99.42894159,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42891742,1,0,99.42891742,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42890683,1,0,99.42890683,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42887146,1,0,99.42887146,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42884463,1,0,99.42884463,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42902163,1,0,99.42902163,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42900048,1,0,99.42900048,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42899448,1,0,99.42899448,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42896463,1,0,99.42896463,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42894159,1,0,99.42894159,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42893951,1,0,99.42893951,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42890831,1,0,99.42890831,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42890476,1,0,99.42890476,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42886939,1,0,99.42886939,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42904029,1,0,99.42904029,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42901955,1,0,99.42901955,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42899269,1,0,99.42899269,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4289924,1,0,99.4289924,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42896256,1,0,99.42896256,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42896101,1,0,99.42896101,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42893745,1,0,99.42893745,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42890625,1,0,99.42890625,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42890268,1,0,99.42890268,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42886732,1,0,99.42886732,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42903819,1,0,99.42903819,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42901749,1,0,99.42901749,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42899064,1,0,99.42899064,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42899028,1,0,99.42899028,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4289604,1,0,99.4289604,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42895883,1,0,99.42895883,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42893528,1,0,99.42893528,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42890411,1,0,99.42890411,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42890051,1,0,99.42890051,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42886517,1,0,99.42886517,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42903601,1,0,99.42903601,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42901532,1,0,99.42901532,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42898849,1,0,99.42898849,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42898083,1,0,99.42898083,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42895834,1,0,99.42895834,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42895675,1,0,99.42895675,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4289332,1,0,99.4289332,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42892343,1,0,99.42892343,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42888916,1,0,99.42888916,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42886312,1,0,99.42886312,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42903394,1,0,99.42903394,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42901326,1,0,99.42901326,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4290078,1,0,99.4290078,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42897875,1,0,99.42897875,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42895627,1,0,99.42895627,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42895465,1,0,99.42895465,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42892434,1,0,99.42892434,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42892134,1,0,99.42892134,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42888708,1,0,99.42888708,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42888239,1,0,99.42888239,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42903186,1,0,99.42903186,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42900566,1,0,99.42900566,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42900572,1,0,99.42900572,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4289767,1,0,99.4289767,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42897557,1,0,99.42897557,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4289526,1,0,99.4289526,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42892229,1,0,99.42892229,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42891928,1,0,99.42891928,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42888504,1,0,99.42888504,0,-1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,99.42888034,1,0,99.42888034,0,-1,,,
